0	lang	ans	lat	long		lat	long	uv
1	abidji	no	5.64098	-4.58049		5.5	-4.375	394.3422619
2	agaraabi	no	-6.2448	145.93585		-6.5	145.625	432.7202381
3	agta	no	16.22779	122.06331		16.5	121.875	398.9791667
4	aguacatec	no	15.32027	-91.4715		15.5	-91.875	366.6577381
5	amarakaeri	yes	-11.76687	-70.81199		-11.5	-70.625	362.5714286
6	ampeeli	no	-6.80137	146.56164		-6.5	146.875	414.8779762
7	amuzgo	yes	16.79184	-98.24208		16.5	-98.125	385.3095238
8	angaatiha	no	7.11123	145.99434		7.5	145.625	419.7767857
9	apinaye	no	-6.3251	-47.42732		-6.5	-46.875	446.3392857
10	arabela	no	-1.90969	-75.36927		-1.5	-75.625	382.4077381
11	bahinemo	yes	-4.39929	142.19123		-4.5	141.875	448.5595238
12	bauzi	no	-2.31317	137.94315		-2.5	138.125	418.1755952
13	berik	no	-2.27135	138.79951		-2.5	138.125	418.1755952
14	bete	no	6.15144	-5.95153		6.5	-5.625	344.3928571
15	bhili	no	22.02908	74.0787		22.5	74.375	365.2291667
16	buglere	no	8.5543	-81.22453		8.5	-81.875	365.8363095
17	cakchiquel	yes	14.49165	-90.70815		14.5	-90.625	369.0446429
18	campa	no	-12.01396	-73.88022		-12.5	-73.125	383.3869048
19	camsa	yes	1.20459	-76.91948		1.5	-76.875	375.547619
20	candoshi	yes	-3.49494	-77.37837		-3.5	-76.875	347.8154762
21	cavinena	no	-13.44671	-66.60206		-13.5	-66.875	375.6130952
22	cayapa	no	0.89054	-78.95341		0.5	-78.125	358.3095238
23	chacobo	no	-11.93598	-66.6209		-11.5	-66.875	389.4880952
24	chavacano	yes	7.20738	122.13697		7.5	121.875	
25	chayahuita	no	-5.69652	-76.79038		-5.5	-76.875	?
26	chinantec	no	18.05916	-96.21999		18.5	-96.875	
27	chiquitano	yes	-17.60403	-59.91763		-17.5	-59.375	
28	chumburu	yes	8.31144	-0.2466		8.5	-0.625	
29	cofan	no	0.28333	-77.09999		0.5		
30	Colorado	no	-0.20973	-79.23365		-0.5		
31	Cree	no	51.15583	-80.67388		51.5		
32	Culina	yes/no	-8.14026	-70.77119		-8.5		
33	Didinga	no	4.22379	33.64099		4.5		
34	Djuka	yes	4.34999	-54.4		4.5		
35	Dyimini	yes	8.41248	-4.48515		8.5		
36	Ejagham	no	5.61517	8.90218		5.5		
37	Ese-Ejja	no	-11.47873	-67.25201		-11.5		
38	Garifuna	yes	15.7904	-86.23679		15.5		
39	Guahibo	no	5.32871	-68.82594		5.5		
40	Guambiano	yes	2.46517	-76.59188		2.5		
41	Guarijio	no	27.86555	-108.44068		27.5		
42	Guaymi	yes	8.77723	-82.44819		8.5		
43	Gunu	yes	4.65506	11.22749		4.5		
44	Halbi	no	20.2585	81.40751		20.5		
45	Huastec	no	21.84263	-98.99995		21.5		
46	Huave	yes	-23.9289	24.73672		-23.5		
47	Iduna	no	-9.29919	150.25856		-9.5		
48	Ifugao	no	16.91009	120.99336		16.5		
49	Iwam	no	-4.20218	142.43322		-4.5		
50	Jicaque	no	14.67297	-87.05533		14.5		
51	Kalam	yes	-5.11095	144.63801		-5.5		
52	Kamano-Kafe	yes	-6.26661	145.70685		-6.5		
53	Karaja	no	-11.22386	50.40288		-11.5		
54	Kemtuik	no	-2.64648	140.3819		-2.5		
55	Kokni	yes	19.20736	73.94236		19.5		
56	Konkomba	yes/no	9.7064	0.31367		9.5		
57	Kriol	yes	-17.79187	138.13596		-17.5		
58	Kuku-Yalanji	no	-16.00061	145.25786		-16.5		
59	Kuna	no	7.94724	-77.0305		7.5		
60	Kwerba	no	-2.46781	139.20308		-2.5		
61	Lele	no	-4.94234	20.01034		-4.5		
62	Mampruli	yes/no	10.3235	-0.75944		10.5		
63	Maring	no	-5.32861	144.59731		-5.5		
64	Martu-Wangka	no	-23.80781	121.31446		-23.5		
65	Mawchi	no	21.55462	74.01594		21.5		
66	Mayoruna	no	-5.96378	-72.65054		-5.5		
67	Mazahua	no	19.73171	-100.0129		19.5		
68	Mazatec	no	18.09786	-96.61207		18.5		
69	Menya	no	-7.06172	146.02697		-7.5		
70	Micmac	yes	45.24339	-63.29332		45.5		
71	Mikasuki	no	26.08017	-80.90206		26.5		
72	Mixtec	no	18.20307	-98.00442		18.5		
73	Mundu	no	4.19154	30.0483		4.5		
74	Mura-Piraha	no	-6.37915	-61.46644		-6.5		
75	Murle	no	6.64949	32.91043		6.5		
76	Murrinh-Patha	no	10.36119	76.74087		10.5		
77	Nafaanra	no	8.05911	-2.49016		8.5		
78	Nahuatl	yes	19.07657	-98.32676		19.5		
79	Ocaina	no	-2.54306	-71.56724		-2.5		
80	O'odham	no	31.91202	-111.88123		31.5		
81	Patep	no	-6.83706	146.63032		-6.5		
82	Paya	no	15.83108	-85.50061		15.5		
83	Podopa	no	-6.74721	144.63356		-6.5		
84	Saramccan	no	4.60043	-55.86153		4.5		
85	Seri	no	29.0004	-112.38146		29.5		
86	Shipibo	no	-7.42337	-74.85136		-7.5		
