num	lang	cat	lat	long
1	abidji	no	5.64098	-4.58049
2	agaraabi	no	-6.2448	145.93585
3	agta	no	16.42084	121.98092
4	aguacatec	no	15.32027	-91.4715
5	amarakaeri	yes	-11.76687	-70.81199
6	ampeeli	no	-6.80137	146.56164
7	amuzgo	yes	16.79184	-98.24208
8	angaatiha	no	7.11123	145.99434
9	apinaye	no	-6.3251	-47.42732
10	arabela	no	-2.14029	-74.74305
11	bahinemo	yes	-4.39929	142.19123
12	bauzi	no	-2.38453	137.64377
13	berik	no	-2.27135	138.79951
14	bete	no	6.81709	-6.58898
15	bhili	no	22.02908	74.0787
16	buglere	no	8.5543	-81.22453
17	cakchiquel	yes	14.49165	-90.70815
18	campa	no	-12.01396	-73.88022
19	camsa	yes	1.20459	-76.91948
20	candoshi	yes	-3.49494	-77.37837
21	cavinena	no	-13.44671	-66.60206
22	cayapa	no	0.89054	-78.95341
23	chacobo	no	-11.93598	-66.6209
24	chavacano	yes	7.20738	122.13697
25	chayahuita	no	-5.69652	-76.79038
26	chinantec	no	18.05916	-96.21999
27	chiquitano	yes	-17.60403	-59.91763
28	chumburu	yes	8.31144	-0.2466
29	cofan	no	0.28333	-77.09999
30	Colorado	no	-0.20973	-79.23365
31	Cree	no	51.15583	-80.67388
32	Culina	no	-8.14026	-70.77119
33	Didinga	no	4.22379	33.64099
34	Djuka	yes	4.34999	-54.4
35	Dyimini	yes	8.41248	-4.48515
36	Ejagham	no	5.61517	8.90218
37	Ese-Ejja	no	-11.47873	-67.25201
38	Garifuna	yes	15.7904	-86.23679
39	Guahibo	no	5.32871	-68.82594
40	Guambiano	yes	2.65449	-76.57128
41	Guarijio	no	27.86555	-108.44068
42	Guaymi	yes	8.77723	-82.44819
43	Gunu	yes	4.65506	11.22749
44	Halbi	no	20.2585	81.40751
45	Huastec	no	21.84263	-98.99995
46	Huave	yes	-23.9289	24.73672
47	Iduna	no	-9.29919	150.25856
48	Ifugao	no	16.91009	120.99336
49	Iwam	no	-4.20218	142.43322
50	Jicaque	no	14.67297	-87.05533
51	Kalam	yes	-5.11095	144.63801
52	Kamano-Kafe	yes	-6.26661	145.70685
53	Karaja	no	-11.22386	50.40288
54	Kemtuik	no	-2.64648	140.3819
55	Kokni	yes	19.20736	73.94236
56	Konkomba	no	9.7064	0.31367
57	Kriol	yes	-17.79187	138.13596
58	Kuku-Yalanji	no	-16.00061	145.25786
59	Kuna	no	7.94724	-77.0305
60	Kwerba	no	-2.46781	139.20308
61	Lele	no	-4.94234	20.01034
62	Mampruli	no	10.3235	-0.75944
63	Maring	no	-5.32861	144.59731
64	Martu-Wangka	no	-23.80781	121.31446
65	Mawchi	no	21.55462	74.01594
66	Mayoruna	no	-5.96378	-72.65054
67	Mazahua	no	19.73171	-100.0129
68	Mazatec	no	18.09786	-96.61207
69	Menya	no	-7.06172	146.02697
70	Micmac	yes	45.24339	-63.29332
71	Mikasuki	no	26.08017	-80.90206
72	Mixtec	no	18.20307	-98.00442
73	Mundu	no	4.19154	30.0483
74	Mura-Piraha	no	-6.37915	-61.46644
75	Murle	no	6.64949	32.91043
76	Murrinh-Patha	no	10.36119	76.74087
77	Nafaanra	no	8.05911	-2.49016
78	Nahuatl	yes	19.07657	-98.32676
79	Ocaina	no	-2.54306	-71.56724
80	O'odham	no	31.91202	-111.88123
81	Patep	no	-6.83706	146.63032
82	Paya	no	15.83108	-85.50061
83	Podopa	no	-6.74721	144.63356
84	Saramccan	no	4.60043	-55.86153
85	Seri	no	29.0004	-112.38146
86	Shipibo	no	-7.42337	-74.85136
87	Siriono	no	-15.81977	-64.90867
88	Slavey	yes	63.48759	-129.957
89	Sursurunga	no	-4.02156	152.76709
90	Tabla	no	-2.5916	140.66899
91	Tacana	no	-13.09112	-68.503
92	Tarahumara-Cent	no	27.69039	-107.24542
93	Tarahumara-West	no	28.34853	-106.01682
94	Tboli	no	6.20836	124.61069
95	Teribe	yes	9.3481	-82.70122
96	Ticuna	no	-3.46266	-68.9507
97	Tifal	no	-4.83605	141.37616
98	Tlapanec	no	17.45456	-99.62649
99	Tucano	no	0.64324	-69.04709
100	Vagla	yes	9.27324	-2.41346
101	Vasavi	no	21.41635	73.90402
102	Waorani	no	-1.01275	-76.68258
103	Warlpiri	no	-19.91153	130.98559
104	Wobe	no	7.40426	-7.25943
105	Yacouba	no	7.2676	-8.14478
106	Yakan	yes	6.55921	122.07281
107	Yaminahua	no	-9.70103	-72.53807
108	Yucuna	no	-0.89171	-70.67078
109	Yupik	no	60.89361	-161.92522
110	Zapotec	no	17.41638	-96.73631
